Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
7.21,179.1703338623,0.0224313679,0.0224313679,0.0000000000,-0.00056398,-0.00003100,-0.0022917885,146
7.26,179.1706848145,0.0209280924,0.0209280924,0.0000000000,-0.00064167,-0.00003360,-0.0031983348,147
7.31,179.1755828857,0.0187037790,0.0187037790,0.0000000000,-0.00066252,-0.00003659,-0.0020185784,148
7.36,179.1733703613,0.0132007591,0.0132007591,0.0000000000,-0.00060505,-0.00003659,-0.0011917802,149
7.41,179.1738739014,0.0143575356,0.0143575356,0.0000000000,-0.00058218,-0.00003659,-0.0019962153,150
7.46,179.1660156250,0.0050476949,0.0050476949,0.0000000000,-0.00043987,-0.00003958,-0.0018540356,151
7.51,179.1748504639,0.0362288929,0.0362288929,0.0000000000,-0.00076009,-0.00004217,-0.0032206895,152
7.56,179.1798706055,0.0091069685,0.0091069685,0.0000000000,-0.00061062,-0.00004516,-0.0017218253,153
7.61,179.1770782471,0.0277587351,0.0277587351,0.0000000000,-0.00076166,-0.00004516,-0.0032478603,154
7.66,179.1844940186,0.0201596540,0.0201596540,0.0000000000,-0.00075838,-0.00004775,-0.0021019263,155
7.71,179.1829528809,0.0317708442,0.0317708442,0.0000000000,-0.00091269,-0.00004775,-0.0029835010,156
7.76,179.1742095947,0.0369115211,0.0369115211,0.0000000000,-0.00108052,-0.00005123,-0.0029318346,157
7.81,179.1845703125,0.0270823301,0.0270823301,0.0000000000,-0.00106328,-0.00005157,-0.0031446212,158
7.86,179.1878356934,0.0338236505,0.0338236505,0.0000000000,-0.00114188,-0.00005157,-0.0029345509,159
7.91,179.1784210205,0.0280223720,0.0280223720,0.0000000000,-0.00111691,-0.00005157,-0.0030366747,160
7.96,179.1934204102,0.0269515125,0.0269515125,0.0000000000,-0.00108600,-0.00005157,-0.0033820082,161
8.01,179.1881713867,0.0241013132,0.0241013132,0.0000000000,-0.00102483,-0.00005416,-0.0032652159,162
8.06,179.1707458496,0.0307876773,0.0307876773,0.0000000000,-0.00107493,-0.00005416,-0.0019209735,163
8.12,179.1683349609,0.0223548758,0.0223548758,0.0000000000,-0.00099856,-0.00005151,-0.0025729281,164
8.16,179.1603546143,0.0161435004,0.0161435004,0.0000000000,-0.00086224,-0.00005240,-0.0020857798,165
8.21,179.1606140137,0.0176657300,0.0176657300,0.0000000000,-0.00079531,-0.00004941,-0.0021533432,166
8.27,179.1490325928,0.0283615797,0.0283615797,0.0000000000,-0.00089129,-0.00004941,-0.0025426497,167
8.32,179.1487274170,0.0038220213,0.0038220213,0.0000000000,-0.00062555,-0.00005200,-0.0011522776,168
8.37,179.1504516602,0.0044503151,0.0044503151,0.0000000000,-0.00046129,-0.00004935,-0.0016816242,169
8.42,179.1501464844,0.0169015319,0.0169015319,0.0000000000,-0.00051486,-0.00005056,-0.0023062215,170
8.47,179.1304626465,0.0200354478,0.0200354478,0.0000000000,-0.00059312,-0.00005056,-0.0017511506,171
8.52,179.1334838867,0.0175380519,0.0175380519,0.0000000000,-0.00061494,-0.00004758,-0.0027354559,172
8.57,179.1353454590,0.0309165856,0.0309165856,0.0000000000,-0.00080582,-0.00004758,-0.0033637101,173
8.62,179.1284942627,0.0097278403,0.0097278403,0.0000000000,-0.00065319,-0.00004493,-0.0010574434,174
8.67,179.1241912842,0.0292144724,0.0292144724,0.0000000000,-0.00080949,-0.00004493,-0.0027261569,175
